City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,5.86,92,100,12.38,NZ,1696218697
1,whitehorse,60.7161,-135.0538,7.43,77,40,4.63,CA,1696218697
2,utrik,11.2278,169.8474,28.67,78,92,5.84,MH,1696218697
3,sarikei,2.1167,111.5167,30.61,52,79,0.99,MY,1696218697
4,boa vista,2.8197,-60.6733,29.99,58,0,2.57,BR,1696218698
5,smirnykh,49.75,142.8333,13.83,77,92,1.79,RU,1696218698
6,klyuchi,52.2667,79.1667,9.62,61,0,3.74,RU,1696218698
7,tsetserleg,47.475,101.4542,9.03,49,39,5.03,MN,1696218698
8,chabahar,25.2919,60.643,28.72,62,2,1.46,IR,1696218698
9,waitangi,-43.9535,-176.5597,14.34,88,83,3.13,NZ,1696218698
10,port-aux-francais,-49.35,70.2167,1.95,84,97,20.41,TF,1696218699
11,anadyr,64.75,177.4833,4.28,48,0,4.92,RU,1696218699
12,okha,53.5739,142.9478,8.95,95,100,9.43,RU,1696218699
13,cannonvale,-20.2833,148.7,22.66,68,14,6.23,AU,1696218699
14,edinburgh of the seven seas,-37.0676,-12.3116,9.75,66,97,10.29,SH,1696218699
15,keflavik,64.0049,-22.5624,8.95,76,0,7.72,IS,1696218699
16,vorgashor,67.5833,63.95,8.95,97,100,6.64,RU,1696218700
17,shantou,23.3681,116.7148,30.92,58,20,3.0,CN,1696218700
18,banda aceh,5.5577,95.3222,30.22,66,66,4.69,ID,1696218700
19,adamstown,-25.066,-130.1015,20.51,79,38,11.13,PN,1696218700
20,cotonou,6.3654,2.4183,26.99,83,40,5.66,BJ,1696218700
21,magadan,59.5667,150.8,12.52,69,38,0.22,RU,1696218700
22,barranca,-10.75,-77.7667,18.36,87,84,3.8,PE,1696218701
23,ust-nera,64.5667,143.2,1.79,56,29,2.68,RU,1696218701
24,puerto ayora,-0.7393,-90.3518,21.97,100,95,1.34,EC,1696218701
25,grytviken,-54.2811,-36.5092,2.23,95,33,4.72,GS,1696218456
26,polyarnyy,69.1989,33.4478,3.32,78,100,7.87,RU,1696218701
27,punta arenas,-53.15,-70.9167,1.06,86,20,6.69,CL,1696218701
28,montepuez,-13.1256,38.9997,19.99,83,0,1.31,MZ,1696218702
29,sao miguel do araguaia,-13.275,-50.1628,30.34,32,59,1.16,BR,1696218702
30,isangel,-19.55,169.2667,27.06,50,75,6.17,VU,1696218702
31,albany,42.6001,-73.9662,17.73,91,5,2.09,US,1696218601
32,saumur,47.3333,-0.25,14.91,94,67,1.71,FR,1696218702
33,yuzhno-kurilsk,44.0306,145.8556,17.99,57,4,5.13,RU,1696218703
34,port mathurin,-19.6833,63.4167,23.13,80,10,6.75,MU,1696218703
35,thinadhoo,0.5333,72.9333,27.64,77,11,6.08,MV,1696218703
36,bredasdorp,-34.5322,20.0403,9.92,80,2,2.28,ZA,1696218703
37,ushuaia,-54.8,-68.3,0.81,80,0,8.23,AR,1696218423
38,ilulissat,69.2167,-51.1,-1.99,64,1,3.09,GL,1696218703
39,lebu,-37.6167,-73.65,8.04,84,87,1.19,CL,1696218704
40,aasiaat,68.7098,-52.8699,-8.02,85,18,3.94,GL,1696218704
41,port elizabeth,-33.918,25.5701,15.16,81,0,5.66,ZA,1696218704
