,City,Country,Lat,Lng,Humidity,Hotel Name
0,kavieng,PG,-2.5744,150.7967,83,Kavieng Hotel
1,waitangi,NZ,-43.9535,-176.5597,91,Hotel Chathams
2,constantia,RO,44.1833,28.65,54,Hotel Chérica
3,bethel,US,41.3712,-73.414,61,Hampton Inn Danbury
4,jamestown,US,42.097,-79.2353,61,DoubleTree Jamestown
5,princeville,CA,45.7668,-61.2985,60,No hotel found
6,invercargill,NZ,-46.4,168.35,80,The Grand
7,hawaiian paradise park,US,19.5933,-154.9731,88,No hotel found
8,hammerfest,NO,70.6634,23.6821,65,Thon Hotel Hammerfest
9,udachny,RU,66.4167,112.4,92,Вилюй
11,ancud,CL,-41.8697,-73.8203,93,Cabañas
12,nova sintra,CV,14.8667,-24.7167,79,Residência Ka Dencho
13,olonkinbyen,SJ,70.9221,-8.7187,88,No hotel found
14,iskateley,RU,67.6803,53.1512,96,Авантаж
15,franklin,US,39.9667,-83.0166,50,Courtyard Columbus Downtown
16,tidjikja,MR,18.5564,-11.4271,10,No hotel found
17,whitehorse,CA,60.7161,-135.0538,93,Town & Mountain Hotel
18,port alfred,ZA,-33.5906,26.891,78,No hotel found
19,mejit,MH,10.2753,170.8646,79,No hotel found
20,cidreira,BR,-30.1811,-50.2056,59,Hotel Castelo
21,tikhvin,RU,59.6451,33.5294,74,Тихвин
22,georgetown,MY,5.4112,100.3354,81,Page 63 hostel
23,ad dabbah,SD,18.05,30.95,10,No hotel found
24,nizhneangarsk,RU,55.7833,109.55,75,No hotel found
25,port-aux-francais,TF,-49.35,70.2167,97,Keravel
26,santa elena de uairen,VE,4.6167,-61.1333,37,Posada Villa Fairmont
27,bayramaly,TM,37.6185,62.1671,23,No hotel found
28,utrik,MH,11.2278,169.8474,77,No hotel found
29,grytviken,GS,-54.2811,-36.5092,80,No hotel found
30,aleg,MR,17.0481,-13.9209,10,Hotel Oasis Aleg
31,kapa'a,US,22.0752,-159.319,79,Pono Kai Resort
32,sangmelima,CM,2.9333,11.9833,98,Hôtel l'Afamba
33,port blair,IN,11.6667,92.75,89,Andaman Ocean Breeze
34,belmonte,BR,-15.8631,-38.8828,68,No hotel found
35,carnarvon,AU,-24.8667,113.6333,62,No hotel found
36,bredasdorp,ZA,-34.5322,20.0403,81,Victoria Hotel
37,adamstown,PN,-25.066,-130.1015,83,No hotel found
38,edinburgh of the seven seas,SH,-37.0676,-12.3116,61,No hotel found
39,heroica caborca,MX,30.7167,-112.15,30,Hotel Posada del Desierto
40,kisangani,CD,0.5167,25.2,82,Hotel Kisangani
41,yellowknife,CA,62.456,-114.3525,87,No hotel found
42,tsetserleg,MN,47.475,101.4542,64,Буян зочид буудал
43,atafu village,TK,-8.5421,-172.5159,71,No hotel found
44,tazacorte,ES,28.629,-17.9293,81,App Leyma
45,boguchany,RU,58.3814,97.4531,71,Полет
46,kikwit,CD,-5.041,18.8162,85,Grand Hôtel de Kikwit
47,santiago,CL,-33.4569,-70.6483,82,apart arturo prat
48,richards bay,ZA,-28.783,32.0377,63,Bon Hotel Waterfront
49,mount pearl,CA,47.5166,-52.7813,60,Sandman Signature St. John's
